a;b;c;d;e;f;g;h;i;j
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,8;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,8;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,8;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,8;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,8;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;0,9;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;1,0;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;1,1;1,0
0,9;0,2;0,2;0,5;0,4;0,2;0,6;0,4;1,2;1,0
0,9;0,2;0,3;0,5;0,4;0,2;0,6;0,4;1,2;1,0
0,9;0,2;0,4;0,5;0,4;0,2;0,6;0,4;1,2;1,0
0,9;0,2;0,5;0,5;0,4;0,2;0,6;0,4;1,2;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,2;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,3;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
0,9;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,0;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,1;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,2;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,3;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,3;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,3;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,3;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
1,3;0,2;0,6;0,5;0,4;0,2;0,6;0,4;1,4;1,0
